gdhA: HAIN001_00203	HAIN002_00273	HAIN003_00473	HAIN004_00707	HAIN005_01972	HAIN006_01111	HAIN007_00257	HAIN008_00454	HAIN009_00399	HAIN010_00871
group_778: HAIN001_00913	HAIN002_00979	HAIN003_01561	HAIN004_01562	HAIN005_01420	HAIN006_00290	HAIN007_01037	HAIN008_01507	HAIN009_01555	HAIN010_01646
dusC: HAIN001_00295	HAIN002_00360	HAIN003_00339	HAIN004_00830	HAIN005_00215	HAIN006_01018	HAIN007_00348	HAIN008_00317	HAIN009_00312	HAIN010_00001
tolB: HAIN001_00410	HAIN002_00483	HAIN003_00211	HAIN004_01017	HAIN005_01908	HAIN006_00832	HAIN007_00522	HAIN008_00199	HAIN009_00190	HAIN010_01726
group_370: HAIN001_01117	HAIN002_01151	HAIN003_01368	HAIN004_01776	HAIN005_01198	HAIN006_02031	HAIN007_01255	HAIN008_01304	HAIN009_01357	HAIN010_00666
group_3811: HAIN001_00549	HAIN002_00616	HAIN003_00076	HAIN004_01172	HAIN005_01772	HAIN006_00695	HAIN007_00676	HAIN008_00065	HAIN009_00056	HAIN010_00340
plsC: HAIN001_00796	HAIN002_00865	HAIN003_01687	HAIN004_01441	HAIN005_01530	HAIN006_00402	HAIN007_00922	HAIN008_01618	HAIN009_01669	HAIN010_00163
asnA: HAIN001_00592	HAIN002_00659	HAIN003_00030	HAIN004_01218	HAIN005_01725	HAIN006_00651	HAIN007_00719	HAIN008_00020	HAIN009_00020	HAIN010_00208
group_1095: HAIN001_00570	HAIN002_00637	HAIN003_00053	HAIN004_01194	HAIN005_01748	HAIN006_00674	HAIN007_00697	HAIN008_00044	HAIN009_00041	HAIN010_00318
galK: HAIN001_00886	HAIN002_00952	HAIN003_01590	HAIN004_01534	HAIN005_01447	HAIN006_00318	HAIN007_01010	HAIN008_01534	HAIN009_01582	HAIN010_00504
group_902: HAIN001_01633	HAIN002_01481	HAIN003_01088	HAIN004_00033	HAIN005_00868	HAIN006_01663	HAIN007_01767	HAIN008_01050	HAIN009_01096	HAIN010_01031
pmbA: HAIN001_01218	HAIN002_01250	HAIN003_01262	HAIN004_01881	HAIN005_01109	HAIN006_01902	HAIN007_01355	HAIN008_01208	HAIN009_01255	HAIN010_01467
pdxT: HAIN001_01723	HAIN002_01811	HAIN003_00789	HAIN004_00374	HAIN005_00574	HAIN006_01299	HAIN007_01883	HAIN008_00751	HAIN009_00808	HAIN010_00918
ppiB: HAIN001_00081	HAIN002_00082	HAIN003_00601	HAIN004_00577	HAIN005_00074	HAIN006_00077	HAIN007_00074	HAIN008_00572	HAIN009_00625	HAIN010_00859
pgk: HAIN001_00553	HAIN002_00620	HAIN003_00070	HAIN004_01176	HAIN005_01768	HAIN006_00691	HAIN007_00680	HAIN008_00061	HAIN009_00052	HAIN010_00336
group_1494: HAIN001_00333	HAIN002_00398	HAIN003_00300	HAIN004_00871	HAIN005_00253	HAIN006_00981	HAIN007_00449	HAIN008_00278	HAIN009_00274	HAIN010_01779
group_1475: HAIN001_00250	HAIN002_00317	HAIN003_00388	HAIN004_00752	HAIN005_00168	HAIN006_01067	HAIN007_00303	HAIN008_00378	HAIN009_00356	HAIN010_01624
moaA: HAIN001_01750	HAIN002_01836	HAIN003_00762	HAIN004_00411	HAIN005_00549	HAIN006_01274	HAIN007_01909	HAIN008_00725	HAIN009_00782	HAIN010_01331
group_1710: HAIN001_01412	HAIN002_01694	HAIN003_00878	HAIN004_00077	HAIN005_00675	HAIN006_01619	HAIN007_01565	HAIN008_00836	HAIN009_01057	HAIN010_01209
napF_1: HAIN001_00370	HAIN002_00443	HAIN003_00252	HAIN004_00908	HAIN005_00293	HAIN006_00941	HAIN007_00483	HAIN008_00238	HAIN009_00230	HAIN010_00102
atpH_2: HAIN001_00512	HAIN002_00582	HAIN003_00110	HAIN004_01134	HAIN005_01807	HAIN006_00730	HAIN007_00642	HAIN008_00100	HAIN009_00090	HAIN010_00143
bamE: HAIN001_00905	HAIN002_00971	HAIN003_01570	HAIN004_01554	HAIN005_01428	HAIN006_00298	HAIN007_01029	HAIN008_01515	HAIN009_01563	HAIN010_00525
group_1157: HAIN001_00961	HAIN002_01022	HAIN003_01508	HAIN004_01617	HAIN005_01378	HAIN006_00240	HAIN007_01085	HAIN008_01445	HAIN009_01494	HAIN010_00532
rplV: HAIN001_00847	HAIN002_00913	HAIN003_01627	HAIN004_01495	HAIN005_01486	HAIN006_00357	HAIN007_00971	HAIN008_01572	HAIN009_01620	HAIN010_00467
galT: HAIN001_00887	HAIN002_00953	HAIN003_01589	HAIN004_01535	HAIN005_01446	HAIN006_00317	HAIN007_01011	HAIN008_01533	HAIN009_01581	HAIN010_00505
lrp: HAIN001_01668	HAIN002_01373	HAIN003_01129	HAIN004_02022	HAIN005_00981	HAIN006_01774	HAIN007_01828	HAIN008_01085	HAIN009_01132	HAIN010_01250
thiE: HAIN001_00446	HAIN002_00518	HAIN003_00175	HAIN004_01058	HAIN005_01873	HAIN006_00797	HAIN007_00557	HAIN008_00164	HAIN009_00154	HAIN010_00123
ccmE: HAIN001_01160	HAIN002_01195	HAIN003_01323	HAIN004_01821	HAIN005_01158	HAIN006_01951	HAIN007_01298	HAIN008_01262	HAIN009_01313	HAIN010_00757
rplP: HAIN001_00849	HAIN002_00915	HAIN003_01625	HAIN004_01497	HAIN005_01484	HAIN006_00355	HAIN007_00973	HAIN008_01570	HAIN009_01618	HAIN010_00469
dxs: HAIN001_01512	HAIN002_01580	HAIN003_00979	HAIN004_00211	HAIN005_00756	HAIN006_01535	HAIN007_01697	HAIN008_00931	HAIN009_00950	HAIN010_01183
lipA: HAIN001_00027	HAIN002_00027	HAIN003_00656	HAIN004_00515	HAIN005_00030	HAIN006_00032	HAIN007_00027	HAIN008_00626	HAIN009_00681	HAIN010_01514
group_492: HAIN001_00460	HAIN002_00530	HAIN003_00162	HAIN004_01077	HAIN005_01858	HAIN006_00783	HAIN007_00569	HAIN008_00152	HAIN009_00142	HAIN010_00047
bioD1_1: HAIN001_01518	HAIN002_01574	HAIN003_00985	HAIN004_00217	HAIN005_00762	HAIN006_01529	HAIN007_01704	HAIN008_00937	HAIN009_00944	HAIN010_01189
lptA: HAIN001_01215	HAIN002_01247	HAIN003_01265	HAIN004_01878	HAIN005_01112	HAIN006_01905	HAIN007_01352	HAIN008_01211	HAIN009_01258	HAIN010_01470
mioC: HAIN001_00725	HAIN002_00762	HAIN003_01766	HAIN004_01331	HAIN005_01689	HAIN006_00614	HAIN007_00849	HAIN008_01692	HAIN009_01820	HAIN010_00309
moaD: HAIN001_01748	HAIN002_01834	HAIN003_00764	HAIN004_00409	HAIN005_00551	HAIN006_01276	HAIN007_01907	HAIN008_00727	HAIN009_00784	HAIN010_01329
mraY: HAIN001_01201	HAIN002_01233	HAIN003_01280	HAIN004_01864	HAIN005_01126	HAIN006_01919	HAIN007_01338	HAIN008_01225	HAIN009_01272	HAIN010_01484
csdA: HAIN001_01358	HAIN002_01705	HAIN003_00867	HAIN004_00287	HAIN005_00664	HAIN006_01470	HAIN007_01497	HAIN008_00824	HAIN009_00878	HAIN010_01220
mfd: HAIN001_01324	HAIN002_01772	HAIN003_00833	HAIN004_00333	HAIN005_00616	HAIN006_01341	HAIN007_01459	HAIN008_00790	HAIN009_00847	HAIN010_00958
aroH: HAIN001_01622	HAIN002_01492	HAIN003_01077	HAIN004_00045	HAIN005_00857	HAIN006_01652	HAIN007_01756	HAIN008_01039	HAIN009_01085	HAIN010_01042
mnmG: HAIN001_00611	HAIN002_00715	HAIN003_00010	HAIN004_01281	HAIN005_01706	HAIN006_00632	HAIN007_00738	HAIN008_00001	HAIN009_00001	HAIN010_00263
ccmC: HAIN001_01158	HAIN002_01193	HAIN003_01325	HAIN004_01819	HAIN005_01160	HAIN006_01953	HAIN007_01296	HAIN008_01264	HAIN009_01315	HAIN010_00755
yabJ: HAIN001_01698	HAIN002_01336	HAIN003_01168	HAIN004_01984	HAIN005_01016	HAIN006_01809	HAIN007_01858	HAIN008_01119	HAIN009_01169	HAIN010_01285
thrA: HAIN001_00095	HAIN002_00164	HAIN003_00588	HAIN004_00591	HAIN005_00132	HAIN006_00090	HAIN007_00153	HAIN008_00559	HAIN009_00511	HAIN010_00847
rpsG: HAIN001_00609	HAIN002_00717	HAIN003_00012	HAIN004_01283	HAIN005_01708	HAIN006_00634	HAIN007_00736	HAIN008_00003	HAIN009_00003	HAIN010_00265
lnt: HAIN001_00331	HAIN002_00396	HAIN003_00302	HAIN004_00869	HAIN005_00251	HAIN006_00983	HAIN007_00447	HAIN008_00280	HAIN009_00276	HAIN010_01781
der: HAIN001_00148	HAIN002_00218	HAIN003_00533	HAIN004_00650	HAIN005_01917	HAIN006_01168	HAIN007_00203	HAIN008_00508	HAIN009_00454	HAIN010_01697
gmk: HAIN001_01825	HAIN002_01913	HAIN003_00684	HAIN004_00483	HAIN005_02020	HAIN006_02056	HAIN007_01980	HAIN008_00653	HAIN009_00708	HAIN010_01415
group_3636: HAIN001_00786	HAIN002_00857	HAIN003_01696	HAIN004_01431	HAIN005_01538	HAIN006_00410	HAIN007_00914	HAIN008_01626	HAIN009_01677	HAIN010_00171
crr: HAIN001_01785	HAIN002_01877	HAIN003_00722	HAIN004_00447	HAIN005_00442	HAIN006_01224	HAIN007_01944	HAIN008_00686	HAIN009_00747	HAIN010_01376
djlA: HAIN001_00296	HAIN002_00361	HAIN003_00338	HAIN004_00831	HAIN005_00216	HAIN006_01017	HAIN007_00349	HAIN008_00316	HAIN009_00311	HAIN010_01815
uvrD: HAIN001_01253	HAIN002_01283	HAIN003_01227	HAIN004_01922	HAIN005_01070	HAIN006_01862	HAIN007_01388	HAIN008_01175	HAIN009_01222	HAIN010_01436
dksA: HAIN001_00064	HAIN002_00066	HAIN003_00620	HAIN004_00557	HAIN005_00058	HAIN006_00060	HAIN007_00055	HAIN008_00589	HAIN009_00644	HAIN010_01552
rpsI: HAIN001_01515	HAIN002_01577	HAIN003_00982	HAIN004_00214	HAIN005_00759	HAIN006_01532	HAIN007_01701	HAIN008_00934	HAIN009_00947	HAIN010_01186
truA: HAIN001_01719	HAIN002_01316	HAIN003_01191	HAIN004_01962	HAIN005_01036	HAIN006_01829	HAIN007_01879	HAIN008_01141	HAIN009_01189	HAIN010_01306
group_211: HAIN001_00107	HAIN002_00175	HAIN003_00578	HAIN004_00601	HAIN005_00140	HAIN006_00102	HAIN007_00164	HAIN008_00550	HAIN009_00500	HAIN010_01441
prc: HAIN001_01742	HAIN002_01828	HAIN003_00770	HAIN004_00401	HAIN005_00557	HAIN006_01282	HAIN007_01901	HAIN008_00733	HAIN009_00790	HAIN010_01324
mltA: HAIN001_00129	HAIN002_00201	HAIN003_00551	HAIN004_00630	HAIN005_00407	HAIN006_01184	HAIN007_00186	HAIN008_00524	HAIN009_00474	HAIN010_01676
rpsQ: HAIN001_00851	HAIN002_00917	HAIN003_01623	HAIN004_01499	HAIN005_01482	HAIN006_00353	HAIN007_00975	HAIN008_01568	HAIN009_01616	HAIN010_00471
plsY: HAIN001_00291	HAIN002_00356	HAIN003_00344	HAIN004_00825	HAIN005_00211	HAIN006_01023	HAIN007_00344	HAIN008_00322	HAIN009_00317	HAIN010_00006
lpdA: HAIN001_01296	HAIN002_01797	HAIN003_00804	HAIN004_00360	HAIN005_00588	HAIN006_01313	HAIN007_01434	HAIN008_00765	HAIN009_00822	HAIN010_00932
rhtC: HAIN001_01371	HAIN002_01521	HAIN003_01043	HAIN004_00275	HAIN005_00808	HAIN006_01482	HAIN007_01509	HAIN008_00991	HAIN009_00890	HAIN010_01074
purL: HAIN001_00815	HAIN002_00882	HAIN003_01666	HAIN004_01462	HAIN005_01512	HAIN006_00383	HAIN007_00940	HAIN008_01598	HAIN009_01652	HAIN010_00420
ligA_1: HAIN001_01166	HAIN002_01202	HAIN003_01316	HAIN004_01829	HAIN005_01151	HAIN006_01944	HAIN007_01305	HAIN008_01255	HAIN009_01306	HAIN010_00764
group_1476: HAIN001_00251	HAIN002_00318	HAIN003_00387	HAIN004_00753	HAIN005_00169	HAIN006_01066	HAIN007_00323	HAIN008_00377	HAIN009_00355	HAIN010_00068
yeaD: HAIN001_01381	HAIN002_01540	HAIN003_01021	HAIN004_00254	HAIN005_00798	HAIN006_01493	HAIN007_01529	HAIN008_00970	HAIN009_00909	HAIN010_01084
group_157: HAIN001_00687	HAIN002_00723	HAIN003_01810	HAIN004_01292	HAIN005_01615	HAIN006_00546	HAIN007_00813	HAIN008_01732	HAIN009_01862	HAIN010_00270
group_357: HAIN001_00892	HAIN002_00958	HAIN003_01584	HAIN004_01540	HAIN005_01441	HAIN006_00311	HAIN007_01016	HAIN008_01528	HAIN009_01576	HAIN010_00510
zapA: HAIN001_00923	HAIN002_00989	HAIN003_01550	HAIN004_01574	HAIN005_01410	HAIN006_00280	HAIN007_01047	HAIN008_01497	HAIN009_01544	HAIN010_01632
pth: HAIN001_00423	HAIN002_00495	HAIN003_00198	HAIN004_01032	HAIN005_01896	HAIN006_00820	HAIN007_00534	HAIN008_00187	HAIN009_00177	HAIN010_01738
rluD: HAIN001_00189	HAIN002_00258	HAIN003_00494	HAIN004_00692	HAIN005_01957	HAIN006_01126	HAIN007_00243	HAIN008_00468	HAIN009_00413	HAIN010_00795
dauR: HAIN001_00603	HAIN002_00672	HAIN003_00018	HAIN004_01229	HAIN005_01714	HAIN006_00640	HAIN007_00730	HAIN008_00009	HAIN009_00009	HAIN010_00218
resA: HAIN001_01182	HAIN002_01215	HAIN003_01299	HAIN004_01845	HAIN005_01144	HAIN006_01937	HAIN007_01320	HAIN008_01243	HAIN009_01291	HAIN010_00779
rpsC: HAIN001_00848	HAIN002_00914	HAIN003_01626	HAIN004_01496	HAIN005_01485	HAIN006_00356	HAIN007_00972	HAIN008_01571	HAIN009_01619	HAIN010_00468
bioD1_2: HAIN001_01625	HAIN002_01489	HAIN003_01080	HAIN004_00042	HAIN005_00860	HAIN006_01655	HAIN007_01759	HAIN008_01042	HAIN009_01088	HAIN010_01039
ribA: HAIN001_00225	HAIN002_00295	HAIN003_00446	HAIN004_00731	HAIN005_01996	HAIN006_01089	HAIN007_00279	HAIN008_00432	HAIN009_00377	HAIN010_01567
xthA: HAIN001_00042	HAIN002_00042	HAIN003_00641	HAIN004_00532	HAIN005_00045	HAIN006_00047	HAIN007_00042	HAIN008_00611	HAIN009_00666	HAIN010_01529
rluA_2: HAIN001_00658	HAIN002_00843	HAIN003_00421	HAIN004_01418	HAIN005_01553	HAIN006_00425	HAIN007_00784	HAIN008_00410	HAIN009_01691	HAIN010_01591
ffh: HAIN001_00112	HAIN002_00184	HAIN003_00569	HAIN004_00609	HAIN005_00149	HAIN006_02039	HAIN007_00169	HAIN008_00541	HAIN009_00491	HAIN010_00888
group_219: HAIN001_00354	HAIN002_00427	HAIN003_00274	HAIN004_00890	HAIN005_00271	HAIN006_00963	HAIN007_00467	HAIN008_00258	HAIN009_00246	HAIN010_01759
mnmA: HAIN001_00187	HAIN002_00256	HAIN003_00491	HAIN004_00690	HAIN005_01955	HAIN006_01128	HAIN007_00241	HAIN008_00470	HAIN009_00415	HAIN010_00797
degQ: HAIN001_01325	HAIN002_01771	HAIN003_00834	HAIN004_00331	HAIN005_00617	HAIN006_01342	HAIN007_01460	HAIN008_00791	HAIN009_00848	HAIN010_00959
chuR: HAIN001_00871	HAIN002_00937	HAIN003_01604	HAIN004_01519	HAIN005_01462	HAIN006_00333	HAIN007_00996	HAIN008_01548	HAIN009_01596	HAIN010_00490
group_3689: HAIN001_01443	HAIN002_01660	HAIN003_00913	HAIN004_00131	HAIN005_00710	HAIN006_01583	HAIN007_01596	HAIN008_00869	HAIN009_01026	HAIN010_01119
uvrC: HAIN001_00059	HAIN002_00061	HAIN003_00625	HAIN004_00550	HAIN005_00053	HAIN006_00055	HAIN007_00050	HAIN008_00594	HAIN009_00649	HAIN010_01547
fabA: HAIN001_01389	HAIN002_01548	HAIN003_01013	HAIN004_00245	HAIN005_00790	HAIN006_01501	HAIN007_01537	HAIN008_00962	HAIN009_00917	HAIN010_01173
slyX: HAIN001_00601	HAIN002_00670	HAIN003_00020	HAIN004_01227	HAIN005_01716	HAIN006_00642	HAIN007_00728	HAIN008_00011	HAIN009_00011	HAIN010_00216
tatC: HAIN001_00202	HAIN002_00272	HAIN003_00474	HAIN004_00706	HAIN005_01971	HAIN006_01112	HAIN007_00256	HAIN008_00455	HAIN009_00400	HAIN010_00870
rplM: HAIN001_01516	HAIN002_01576	HAIN003_00983	HAIN004_00215	HAIN005_00760	HAIN006_01531	HAIN007_01702	HAIN008_00935	HAIN009_00946	HAIN010_01187
cmoA: HAIN001_00347	HAIN002_00421	HAIN003_00281	HAIN004_00886	HAIN005_00267	HAIN006_00967	HAIN007_00463	HAIN008_00264	HAIN009_00252	HAIN010_01765
malP: HAIN001_01424	HAIN002_01682	HAIN003_00891	HAIN004_00091	HAIN005_00691	HAIN006_01604	HAIN007_01577	HAIN008_00850	HAIN009_01045	HAIN010_01143
sohB: HAIN001_01756	HAIN002_01846	HAIN003_00752	HAIN004_00417	HAIN005_00544	HAIN006_01269	HAIN007_01915	HAIN008_00715	HAIN009_00776	HAIN010_01337
nanE: HAIN001_00159	HAIN002_00229	HAIN003_00522	HAIN004_00662	HAIN005_01928	HAIN006_01155	HAIN007_00214	HAIN008_00497	HAIN009_00442	HAIN010_00826
group_1047: HAIN001_00319	HAIN002_00383	HAIN003_00316	HAIN004_00855	HAIN005_00238	HAIN006_00995	HAIN007_00433	HAIN008_00294	HAIN009_00289	HAIN010_01793
plsB: HAIN001_00811	HAIN002_00878	HAIN003_01671	HAIN004_01458	HAIN005_01517	HAIN006_00388	HAIN007_00936	HAIN008_01603	HAIN009_01656	HAIN010_00183
ispD: HAIN001_00728	HAIN002_00765	HAIN003_01763	HAIN004_01334	HAIN005_01685	HAIN006_00611	HAIN007_00852	HAIN008_01689	HAIN009_01817	HAIN010_00313
efp: HAIN001_00356	HAIN002_00429	HAIN003_00272	HAIN004_00892	HAIN005_00273	HAIN006_00961	HAIN007_00469	HAIN008_00256	HAIN009_00244	HAIN010_00116
murG: HAIN001_01204	HAIN002_01236	HAIN003_01277	HAIN004_01867	HAIN005_01123	HAIN006_01916	HAIN007_01341	HAIN008_01222	HAIN009_01269	HAIN010_01481
group_1279: HAIN001_01607	HAIN002_01505	HAIN003_01062	HAIN004_00060	HAIN005_00844	HAIN006_01639	HAIN007_01743	HAIN008_01024	HAIN009_01072	HAIN010_01056
group_1496: HAIN001_00339	HAIN002_00413	HAIN003_00294	HAIN004_00877	HAIN005_00259	HAIN006_00975	HAIN007_00455	HAIN008_00272	HAIN009_00260	HAIN010_01773
topA_2: HAIN001_01428	HAIN002_01678	HAIN003_00896	HAIN004_00096	HAIN005_00695	HAIN006_01600	HAIN007_01581	HAIN008_00854	HAIN009_01041	HAIN010_01104
yciO: HAIN001_01263	HAIN002_01293	HAIN003_01217	HAIN004_01934	HAIN005_01060	HAIN006_01852	HAIN007_01401	HAIN008_01164	HAIN009_01212	HAIN010_00897
serC: HAIN001_01234	HAIN002_01264	HAIN003_01247	HAIN004_01902	HAIN005_01090	HAIN006_01881	HAIN007_01369	HAIN008_01194	HAIN009_01241	HAIN010_01451
pepP: HAIN001_00883	HAIN002_00949	HAIN003_01593	HAIN004_01531	HAIN005_01450	HAIN006_00321	HAIN007_01007	HAIN008_01537	HAIN009_01585	HAIN010_00501
mltC_2: HAIN001_00824	HAIN002_00890	HAIN003_01657	HAIN004_01471	HAIN005_01504	HAIN006_00375	HAIN007_00948	HAIN008_01590	HAIN009_01643	HAIN010_00429
group_3679: HAIN001_00471	HAIN002_00541	HAIN003_00151	HAIN004_01089	HAIN005_01847	HAIN006_00772	HAIN007_00580	HAIN008_00141	HAIN009_00131	HAIN010_00035
fis: HAIN001_01049	HAIN002_01106	HAIN003_01415	HAIN004_01704	HAIN005_01248	HAIN006_00148	HAIN007_01175	HAIN008_01352	HAIN009_01410	HAIN010_00615
neuA: HAIN001_01343	HAIN002_01757	HAIN003_00851	HAIN004_00307	HAIN005_00636	HAIN006_01363	HAIN007_01478	HAIN008_00807	HAIN009_00862	HAIN010_00972
modA: HAIN001_01767	HAIN002_01857	HAIN003_00741	HAIN004_00429	HAIN005_00524	HAIN006_01251	HAIN007_01926	HAIN008_00704	HAIN009_00765	HAIN010_00981
cmk_1: HAIN001_01284	HAIN002_01809	HAIN003_00791	HAIN004_00372	HAIN005_00576	HAIN006_01301	HAIN007_01422	HAIN008_00753	HAIN009_00810	HAIN010_00920
folB: HAIN001_00290	HAIN002_00355	HAIN003_00345	HAIN004_00824	HAIN005_00210	HAIN006_01024	HAIN007_00343	HAIN008_00323	HAIN009_00318	HAIN010_00007
hscA: HAIN001_00399	HAIN002_00472	HAIN003_00223	HAIN004_00939	HAIN005_00321	HAIN006_00913	HAIN007_00511	HAIN008_00210	HAIN009_00201	HAIN010_01715
bioB: HAIN001_01091	HAIN002_01136	HAIN003_01383	HAIN004_01748	HAIN005_01218	HAIN006_00118	HAIN007_01240	HAIN008_01322	HAIN009_01372	HAIN010_00648
group_1498: HAIN001_00346	HAIN002_00420	HAIN003_00282	HAIN004_00885	HAIN005_00266	HAIN006_00968	HAIN007_00462	HAIN008_00265	HAIN009_00253	HAIN010_01766
dnaA: HAIN001_01062	HAIN002_01119	HAIN003_01402	HAIN004_01720	HAIN005_01235	HAIN006_00135	HAIN007_01188	HAIN008_01339	HAIN009_01397	HAIN010_00628
group_738: HAIN001_00550	HAIN002_00617	HAIN003_00074	HAIN004_01173	HAIN005_01771	HAIN006_00694	HAIN007_00677	HAIN008_00064	HAIN009_00055	HAIN010_00339
mreB: HAIN001_00038	HAIN002_00038	HAIN003_00645	HAIN004_00528	HAIN005_00041	HAIN006_00043	HAIN007_00038	HAIN008_00615	HAIN009_00670	HAIN010_01525
rplT: HAIN001_01384	HAIN002_01543	HAIN003_01018	HAIN004_00251	HAIN005_00795	HAIN006_01496	HAIN007_01532	HAIN008_00967	HAIN009_00912	HAIN010_01087
